,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,2.554802099863688,0.004582547764360415,0.07838948567708333,0.0004046167857280318,balanced,gini,3,1,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1}",0.026604582937009146,0.017590795408162576,0.021345468290500755,0.021846948878557492,0.0036969089330543686,14,0.02563900741265486,0.020736496585801244,0.019662688048625074,0.022012730682360395,0.0026013686637530453
1,2.558843453725179,0.0042495401037998615,0.07795063654581706,0.0005761192883562292,balanced,gini,3,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5}",0.026604582937009146,0.017590795408162576,0.01959838794727607,0.021264588764149262,0.003863872002314877,16,0.02563900741265486,0.020736496585801244,0.019756406185037007,0.02204397006116437,0.002573371908265673
2,2.5657023588816323,0.02468003719769637,0.07776467005411784,0.0007146388236792403,balanced,gini,3,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10}",0.024664865995012223,0.01673389952576104,0.018629185297401152,0.02000931693939147,0.00338167905001976,17,0.02327023850452005,0.019163649902620192,0.01770686665316912,0.020046918353436454,0.002355546497985338
3,7.552441438039144,0.007023851385079397,0.08003584543863933,0.00014109631296619317,balanced,gini,10,1,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1}",0.08611137020097914,0.08900693459079465,0.09394102064617607,0.08968644181264995,0.0032323525046946077,7,0.09562781097372593,0.10248620423885825,0.10313920838243253,0.1004177411983389,0.003397467416608727
4,7.57019289334615,0.014341017309821682,0.0789186954498291,0.0005131224253890145,balanced,gini,10,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5}",0.08495948893535454,0.08814193415566483,0.08983510124753222,0.08764550811285055,0.002021175889864253,8,0.08971064946797763,0.09515161945438015,0.09626838930445247,0.09371021940893676,0.0028646365108538573
5,7.598341703414917,0.056106385630835594,0.08017547925313313,0.00014469478451790743,balanced,gini,10,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 10}",0.08484015945872284,0.08679470697441442,0.09118923906689484,0.08760803516667737,0.002655036726547448,9,0.08770009389121786,0.09112453991365273,0.09320965945073752,0.09067809775186936,0.0022713154949683015
6,24.041460911432903,0.5243863581889096,0.10922074317932129,0.018726720383389107,balanced,gini,30,1,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 1}",0.16807885515953347,0.17699726457767664,0.16567281405281456,0.17024964459667488,0.004871347521156465,2,0.22326819594018543,0.22101824359074534,0.21395861617909243,0.21941501857000775,0.0039660909959621
7,23.6148517926534,0.3205526159271958,0.0822757085164388,0.0006468238879917155,balanced,gini,30,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 5}",0.1674161287610633,0.17059433124423704,0.16172324025556337,0.16657790008695458,0.003669789668351158,3,0.19063919037648172,0.18472579048143586,0.18077336643634953,0.18537944909808904,0.004054139669914779
8,23.619463602701824,0.4255550021969505,0.08074839909871419,0.0007321354459245869,balanced,gini,30,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 10}",0.16634440714063742,0.19735179090191007,0.15904523742103863,0.1742471451545287,0.01660698569845168,1,0.18383717185240966,0.2039744418867069,0.173501834680805,0.18710448280664052,0.012653100756600444
9,3.5668185551961265,0.11947344774564811,0.09785167376200359,0.01445620372150372,balanced,entropy,3,1,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1}",0.027011337524847932,0.018419204238325434,0.021345468290500755,0.022258670017891374,0.003566664328615173,13,0.025879137435737398,0.021716571168567466,0.019662688048625074,0.022419465550976642,0.002586066012337283
10,2.8465487162272134,0.21778455067674715,0.0873880386352539,0.012217426829768624,balanced,entropy,3,5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5}",0.026644239349214574,0.018419204238325434,0.01982485876198218,0.0216294341165074,0.0035921367644212027,15,0.02568452384933625,0.021716571168567466,0.01909050148228621,0.02216386550006331,0.0027105149459749392
11,2.64791472752889,0.013473747735974845,0.07821035385131836,0.0007205820711177997,balanced,entropy,3,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 10}",0.024664865995012223,0.01673389952576104,0.018629185297401152,0.02000931693939147,0.00338167905001976,17,0.02327023850452005,0.019163649902620192,0.01770686665316912,0.020046918353436454,0.002355546497985338
12,8.123597701390585,0.19212784192617455,0.07892338434855144,0.0006858070355164973,balanced,entropy,10,1,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1}",0.0640129286068041,0.06793744073644876,0.05748860805665108,0.06314632579996798,0.004309507041508281,10,0.0762120281785561,0.08470009199379051,0.07033965258862068,0.07708392425365578,0.005894953042036285
13,7.860119342803955,0.003088177834400183,0.0794204870859782,0.000638212805660883,balanced,entropy,10,5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5}",0.06550034321205508,0.06686532271643561,0.0559234240015899,0.06276302997669353,0.0048683296028411835,11,0.06829539987363699,0.07524190584521775,0.06335257811179353,0.0689632946102161,0.004876719595695121
14,7.8060628573099775,0.06391360707733662,0.0790555477142334,0.0006866450387017096,balanced,entropy,10,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 10}",0.06375911044882451,0.06619012965471938,0.05467559283428868,0.061541610979277524,0.004955408995588856,12,0.06494117458151033,0.0726807361411284,0.05940682763199652,0.06567624611821175,0.0054439207317430295
15,22.613861560821533,0.22795292587134883,0.08007407188415527,0.0007194946828946272,balanced,entropy,30,1,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",0.16313036259768626,0.15666827791618435,0.16087948895302617,0.16022604315563227,0.0026782927603636185,4,0.2231431949847464,0.2248796232048648,0.22054647361514468,0.2228564306015853,0.0017805844921093058
16,22.41614858309428,0.1187236186087378,0.08122094472249348,0.0011220672446077494,balanced,entropy,30,5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 5}",0.15632869515847533,0.1541452173049261,0.15527839428933057,0.15525076891757736,0.0008916151094533844,5,0.18012205766209796,0.1800109453165101,0.1802344726114154,0.18012249186334114,9.125515251191558e-05
17,22.26531942685445,0.9124092137299595,0.0789337158203125,0.0003427468100471013,balanced,entropy,30,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",0.1558815011159232,0.15399674394813484,0.14910113563814184,0.1529931269007333,0.0028575950712033523,6,0.17031122277500482,0.16627429960040233,0.17000192490970412,0.16886248242837043,0.001834472504674771
